,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,Registered_Republican,Registered_Democrat,Registered_Total,highway_count,involved_in_military_mean,involved_in_politics_mean,involved_in_sports_mean,involved_in_music_mean
Median_Age,1.0,0.09762489531438281,0.21421041553332304,0.017550462072153394,-0.1738026530505485,-0.23602193871499347,0.03961720731983262,0.2057290905787855,0.07078689703947691,-0.2925038531838934,-0.03348430454118675,-0.201206362816634,-0.13450345767980842,-0.27829343518156585,0.055954053742146376,0.0532334290926969,-0.20115233687738088,-0.06401446222074854
Median_Household_Income,0.09762489531438281,1.0,0.8259056384031264,-0.22178793101818253,0.1595471270069285,-0.2704536861388632,0.7815028152053101,0.7389520603440496,-0.3818411884293279,-0.8222131610760853,0.4572095956002056,0.29377792454269075,0.3646252879228961,0.2947419652535295,0.04861963764578922,-0.06805845132282386,0.06733767001313894,0.2418164037348813
Median_Home_Value,0.21421041553332304,0.8259056384031264,1.0,-0.12824226859536492,0.18725642558155872,-0.3979557427594282,0.8214922615580139,0.6827698598389697,-0.2894285164726071,-0.6618097026513434,0.5250955843402153,0.41689997731403633,0.4714592981611162,0.2882722951567032,-0.041159521547634914,-0.07543913730394038,0.0029577998865118076,0.11187880621068391
Pct_White_Alone,0.017550462072153394,-0.22178793101818253,-0.12824226859536492,1.0,-0.04580696590373097,0.0330839467077865,-0.18685063277461444,-0.47271426521960497,0.41627742273312285,0.3005781622132982,-0.07452352863278827,-0.08388857290868577,-0.07936812383925161,-0.17213763876453636,0.1532690599524688,-0.006259090062662307,-0.2824823459893847,-0.2253927859427701
Pct_Black_Alone,-0.1738026530505485,0.1595471270069285,0.18725642558155872,-0.04580696590373097,1.0,-0.2249272196951889,0.1991695867744709,0.20765003017660894,0.03667632521471857,-0.19339770128645886,0.3136064572519054,0.3125132490315156,0.32946227997778477,0.17355079614924498,-0.07821898825860966,-0.006847877163661237,0.23376190577728886,0.15324214451839402
Pct_Hispanic,-0.23602193871499347,-0.2704536861388632,-0.3979557427594282,0.0330839467077865,-0.2249272196951889,1.0,-0.4785995691852095,-0.49001697480641504,-0.10756109177487373,0.27663100996696527,-0.3967741353462937,-0.3271671266199517,-0.3618250200819324,-0.23803299382321982,-0.09790406759630933,-0.2334230790913782,-0.12223139790858896,0.22487075765437425
HS_Grad_or_Higher,0.03961720731983262,0.7815028152053101,0.8214922615580139,-0.18685063277461444,0.1991695867744709,-0.4785995691852095,1.0,0.8084723933689709,-0.26388493334791097,-0.5939572822004339,0.5727980479751147,0.47214856284637996,0.5155441658841821,0.416129274147928,0.0035905654627953554,-0.03295285027333604,0.14401070246023104,0.06105033890939458
Bachelors_or_Higher,0.2057290905787855,0.7389520603440496,0.6827698598389697,-0.47271426521960497,0.20765003017660894,-0.49001697480641504,0.8084723933689709,1.0,-0.37029627414721455,-0.7601557657938598,0.40008333514972855,0.22353975450561178,0.28978309312023487,0.3233652537461537,0.025348009823179387,0.06520402627460489,0.113185151923306,0.07128681091486895
Unemployment_Rate,0.07078689703947691,-0.3818411884293279,-0.2894285164726071,0.41627742273312285,0.03667632521471857,-0.10756109177487373,-0.26388493334791097,-0.37029627414721455,1.0,0.45708094128578347,-0.12356432893593987,-0.025273015350432377,-0.06794135677834763,-0.12964017628791566,0.07889345434089631,0.05321757975199979,-0.14793604831411838,-0.12075564282982333
Pct_Below_Poverty_Level,-0.2925038531838934,-0.8222131610760853,-0.6618097026513434,0.3005781622132982,-0.19339770128645886,0.27663100996696527,-0.5939572822004339,-0.7601557657938598,0.45708094128578347,1.0,-0.3907311363194734,-0.19584441846343473,-0.2798590199696245,-0.21628511828089184,0.007018475098605309,0.1141858152729552,-0.021316929015360746,-0.10483582994497123
