attribute,demographic,correlation,p_value,significant
military_highways,hs_grad_or_higher,0.4123375595033596,0.0007100539260233435,True
military_highways,bachelors_or_higher,0.37919550563206444,0.0020011291474849994,True
politics_highways,hs_grad_or_higher,0.37501545403251557,0.0022636769857279177,True
sports_highways,hs_grad_or_higher,0.36632280689499613,0.002910327797169311,True
military_highways,median_household_income,0.35243149157794024,0.004288253106174859,True
music_highways,pct_asian_alone,0.33706769771702144,0.006457583119304759,True
sports_highways,pct_asian_alone,0.33600620722870533,0.006637984990410249,True
politics_highways,pct_asian_alone,0.3233445149740125,0.009155575651061646,True
politics_highways,bachelors_or_higher,0.31524836794250527,0.011169846541149692,True
sports_highways,median_age,-0.3126718073764392,0.011886673866690923,True
music_highways,median_household_income,0.3090627119151887,0.012957484414798593,True
music_highways,hs_grad_or_higher,0.2868459504939656,0.021558211406984842,True
politics_highways,pct_hispanic,-0.28151283810871663,0.024227526700743247,True
politics_highways,median_age,-0.2779069800725286,0.026186473695127874,True
military_highways,pct_asian_alone,0.2745299471617945,0.028140572886401687,True
military_highways,pct_below_poverty_level,-0.26993950198136557,0.030992161322181824,True
military_highways,median_home_value,0.2699302813677109,0.030998123927696908,True
military_highways,median_age,-0.26241575179152743,0.03618748972786632,True
sports_highways,bachelors_or_higher,0.2480382498496715,0.048132415290407946,True
music_highways,median_home_value,0.24706736350149716,0.04904359733354796,True
politics_highways,median_household_income,0.2386501608839247,0.057549654386996,False
politics_highways,median_home_value,0.23385111031690706,0.06291164590565985,False
sports_highways,median_household_income,0.2293905283789857,0.06824999364564505,False
music_highways,bachelors_or_higher,0.22893912139888856,0.06880988404263064,False
sports_highways,pct_black_alone,0.22008261111731964,0.08055844244776013,False
sports_highways,median_home_value,0.2154422988946432,0.08731951230556556,False
sports_highways,pct_hispanic,-0.2136950755036515,0.08997808311281648,False
music_highways,pct_below_poverty_level,-0.2022871469005474,0.1089296401576747,False
music_highways,median_age,-0.19484005009857275,0.1228728497881005,False
military_highways,pct_hispanic,-0.18866905708311113,0.13542431850451112,False
military_highways,unemployment_rate,-0.1884640985753837,0.13585717403607075,False
music_highways,pct_white_alone,-0.18337913534910083,0.14693284790469285,False
politics_highways,pct_white_alone,-0.18118994319912077,0.1519033539734618,False
military_highways,pct_white_alone,-0.1658045189838848,0.19040661115641047,False
politics_highways,pct_black_alone,0.15968492309616125,0.20752251356449922,False
military_highways,pct_black_alone,0.1573445327830455,0.2143477619325346,False
politics_highways,pct_below_poverty_level,-0.14286793895689895,0.26007842872367326,False
sports_highways,unemployment_rate,-0.1376101132790255,0.2782087230481844,False
sports_highways,pct_below_poverty_level,-0.13745677553343894,0.27874976007810987,False
sports_highways,pct_white_alone,-0.1297181180093982,0.30696260621020643,False
politics_highways,unemployment_rate,-0.12740834909978688,0.315728707441461,False
music_highways,unemployment_rate,-0.09047366937731381,0.4770940562937727,False
music_highways,pct_black_alone,0.08591481081302459,0.499661955628796,False
music_highways,pct_hispanic,-0.08064604592785825,0.5264165004377713,False
