COUNTY,avg_age_at_death,median_age_at_death,std_age_at_death,involved_in_military_sum,involved_in_military_mean,involved_in_politics_sum,involved_in_politics_mean,involved_in_sports_sum,involved_in_sports_mean,involved_in_music_sum,involved_in_music_mean,highway_count
Alachua,,,,3,0.375,4,0.5,3,0.375,0,0.0,7
Baker,25.0,25.0,,2,0.5,0,0.0,1,0.25,1,0.25,4
Bay,,,,0,0.0,3,0.2727272727272727,3,0.2727272727272727,0,0.0,10
Bradford,,,,1,0.2,1,0.2,2,0.4,0,0.0,4
Brevard,39.4,35.0,13.221195104830727,9,0.2903225806451613,8,0.25806451612903225,7,0.22580645161290322,3,0.0967741935483871,26
Broward,30.25,29.5,7.182153808805081,9,0.2647058823529412,7,0.20588235294117646,4,0.11764705882352941,4,0.11764705882352941,29
Calhoun,,,,2,0.5,3,0.75,0,0.0,0,0.0,4
Charlotte,,,,1,0.25,1,0.25,0,0.0,0,0.0,2
Citrus,28.0,28.0,,2,0.4,2,0.4,1,0.2,0,0.0,5
Clay,,,,1,0.3333333333333333,3,1.0,0,0.0,0,0.0,3
Collier,38.0,38.0,,0,0.0,4,0.6666666666666666,0,0.0,0,0.0,5
Columbia,55.0,55.0,,0,0.0,2,0.5,1,0.25,0,0.0,4
DeSoto,,,,1,1.0,0,0.0,0,0.0,0,0.0,1
Dixie,30.0,30.0,4.242640687119285,1,0.16666666666666666,2,0.3333333333333333,0,0.0,1,0.16666666666666666,4
Duval,42.333333333333336,43.0,8.238122763510304,9,0.15254237288135594,17,0.288135593220339,16,0.2711864406779661,5,0.0847457627118644,53
Escambia,37.0,37.0,,4,0.19047619047619047,6,0.2857142857142857,4,0.19047619047619047,3,0.14285714285714285,18
Flager,,,,1,1.0,1,1.0,0,0.0,0,0.0,1
Flagler,,,,2,0.5,2,0.5,0,0.0,1,0.25,4
Franklin,,,,0,0.0,3,0.42857142857142855,2,0.2857142857142857,0,0.0,7
Gadsden,,,,0,0.0,2,0.3333333333333333,1,0.16666666666666666,0,0.0,3
