GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS,Registered_Republican,Registered_Democrat,Registered_Minor,Registered_NPA,Registered_Total,Trump / Vance (REP),Harris / Walz (DEM),County_clean,COUNTY,avg_age_at_death,median_age_at_death,std_age_at_death,involved_in_military_sum,involved_in_military_mean,involved_in_politics_sum,involved_in_politics_mean,involved_in_sports_sum,involved_in_sports_mean,involved_in_music_sum,involved_in_music_mean,highway_count,COUNTY_clean
12001,"Alachua County, Florida",32.2,59659,266800,1.6,2.8,5.4,2.3,87.8,58.3,19.0,1.0,47.7,94.2,4.3,19.7,12,1,43605,72850,3421,34411,154287,52939,81578,Alachua,Alachua,,,,3,0.375,4,0.5,3,0.375,0,0.0,7,Alachua
12003,"Baker County, Florida",38.1,70833,225000,0.7,1.0,1.3,0.7,96.3,77.7,11.5,3.4,15.3,85.2,4.3,13.1,12,3,11804,3745,288,2345,18182,12926,1982,Baker,Baker,25.0,25.0,,2,0.5,0,0.0,1,0.25,1,0.25,4,Baker
12005,"Bay County, Florida",41.4,70188,276900,2.5,2.2,3.3,0.4,91.6,73.7,9.8,1.8,28.0,90.8,3.6,11.7,12,5,68697,25507,3272,27383,124859,71497,25201,Bay,Bay,,,,0,0.0,3,0.2727272727272727,3,0.2727272727272727,0,0.0,10,Bay
12007,"Bradford County, Florida",40.5,59740,180300,0.6,2.9,1.0,0.4,95.1,72.6,17.3,1.8,15.0,82.7,6.6,19.1,12,7,10237,4490,269,2682,17678,10920,2946,Bradford,Bradford,,,,1,0.2,1,0.2,2,0.4,0,0.0,4,Bradford
12009,"Brevard County, Florida",46.8,75817,304400,1.8,4.3,4.1,1.6,88.3,71.3,9.2,1.2,33.5,93.1,4.8,9.9,12,9,188364,113856,12386,106416,421022,216533,141233,Brevard,Brevard,39.4,35.0,13.221195104830729,9,0.2903225806451613,8,0.2580645161290322,7,0.2258064516129032,3,0.0967741935483871,26,Brevard
12011,"Broward County, Florida",41.3,74534,380400,2.0,4.6,19.1,6.2,68.1,31.9,27.6,1.3,35.8,90.3,5.6,12.2,12,11,246119,505525,21908,316506,1090058,358952,507328,Broward,Broward,30.25,29.5,7.182153808805081,9,0.2647058823529412,7,0.2058823529411764,4,0.1176470588235294,4,0.1176470588235294,29,Broward
12013,"Calhoun County, Florida",41.8,46901,134000,0.5,2.2,1.2,1.0,95.0,76.0,11.6,2.3,13.1,81.8,4.1,21.2,12,13,4086,2889,62,931,7968,5367,1021,Calhoun,Calhoun,,,,2,0.5,3,0.75,0,0.0,0,0.0,4,Calhoun
12015,"Charlotte County, Florida",60.0,66154,291000,1.2,2.1,2.9,1.6,92.2,82.4,5.1,1.0,25.3,92.2,5.6,9.6,12,15,75012,32172,4513,37578,149275,82480,40450,Charlotte,Charlotte,,,,1,0.25,1,0.25,0,0.0,0,0.0,2,Charlotte
12017,"Citrus County, Florida",56.9,55355,223200,1.1,2.5,2.2,0.8,93.5,85.7,2.1,1.4,20.4,90.9,6.8,15.5,12,17,64325,22616,2933,24582,114456,71356,26276,Citrus,Citrus,28.0,28.0,,2,0.4,2,0.4,1,0.2,0,0.0,5,Citrus
12019,"Clay County, Florida",40.2,86094,281500,2.0,4.0,3.7,1.4,89.0,69.1,11.1,1.4,28.7,93.3,3.8,9.1,12,19,82258,29785,3664,30693,146400,87711,37926,Clay,Clay,,,,1,0.3333333333333333,3,1.0,0,0.0,0,0.0,3,Clay
12021,"Collier County, Florida",53.1,86173,486800,9.9,1.9,9.3,6.3,72.5,62.4,6.4,1.8,39.5,90.0,4.0,10.5,12,21,135504,53634,5253,61650,256041,143267,71720,Collier,Collier,38.0,38.0,,0,0.0,4,0.6666666666666666,0,0.0,0,0.0,5,Collier
12023,"Columbia County, Florida",40.7,55070,186400,1.7,2.7,2.3,0.8,92.6,70.7,16.2,1.5,16.3,85.5,6.3,17.0,12,23,21891,10085,825,6477,39278,25108,8250,Columbia,Columbia,55.0,55.0,,0,0.0,2,0.5,1,0.25,0,0.0,4,Columbia
12027,"DeSoto County, Florida",42.8,50868,151500,22.7,1.6,3.5,2.0,70.2,55.5,12.7,1.3,11.0,73.0,8.6,23.1,12,27,8274,5789,286,4622,18971,8888,3525,DeSoto,DeSoto,,,,1,1.0,0,0.0,0,0.0,0,0.0,1,DeSoto
12029,"Dixie County, Florida",45.8,47655,96900,0.6,0.5,2.5,0.9,95.5,83.1,6.3,3.0,8.1,82.3,5.1,19.3,12,29,6370,2332,171,1686,10559,6920,1183,Dixie,Dixie,30.0,30.0,4.242640687119285,1,0.1666666666666666,2,0.3333333333333333,0,0.0,1,0.1666666666666666,4,Dixie
12031,"Duval County, Florida",36.7,68447,274900,2.0,3.8,4.3,1.7,88.2,49.3,28.5,1.2,33.1,91.0,4.5,14.6,12,31,227792,248341,15840,146309,638282,236285,229365,Duval,Duval,42.333333333333336,43.0,8.238122763510304,9,0.1525423728813559,17,0.288135593220339,16,0.2711864406779661,5,0.0847457627118644,53,Duval
12033,"Escambia County, Florida",38.1,65715,234200,2.5,1.1,2.6,0.4,93.4,62.2,21.0,2.1,28.9,90.5,5.9,14.5,12,33,100337,68964,5374,48774,223449,96407,64601,Escambia,Escambia,37.0,37.0,,4,0.1904761904761904,6,0.2857142857142857,4,0.1904761904761904,3,0.1428571428571428,18,Escambia
12035,"Flagler County, Florida",52.6,72923,333400,2.3,3.8,3.7,1.4,88.8,73.3,9.2,1.1,30.4,93.1,3.7,9.4,12,35,43898,23635,2319,21441,91293,51014,28431,Flagler,Flagler,,,,2,0.5,2,0.5,0,0.0,1,0.25,4,Flagler
12037,"Franklin County, Florida",49.2,62734,254300,0.9,2.2,1.6,0.7,94.6,78.9,10.7,1.0,25.3,83.1,6.9,17.3,12,37,3353,2120,190,941,6604,4831,1870,Franklin,Franklin,,,,0,0.0,3,0.4285714285714285,2,0.2857142857142857,0,0.0,7,Franklin
12039,"Gadsden County, Florida",42.0,46047,154700,6.7,0.9,3.6,0.7,88.1,31.5,54.6,1.8,20.1,81.3,4.4,27.7,12,39,5255,17932,320,2735,26242,7495,14203,Gadsden,Gadsden,,,,0,0.0,2,0.3333333333333333,1,0.1666666666666666,0,0.0,3,Gadsden
12041,"Gilchrist County, Florida",42.7,61070,191000,2.0,1.7,2.9,0.9,92.5,85.9,3.0,2.1,14.5,85.5,3.2,11.2,12,41,8274,2097,238,1884,12493,8931,1662,Gilchrist,Gilchrist,,,,2,0.5,2,0.5,0,0.0,0,0.0,2,Gilchrist
12043,"Glades County, Florida",45.8,38905,114800,15.7,0.6,5.1,3.7,74.9,55.1,14.7,3.6,12.7,72.4,6.2,21.2,12,43,3844,1898,160,1375,7277,4034,1222,Glades,Glades,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,Glades
12045,"Gulf County, Florida",47.3,67361,235700,1.4,1.0,1.5,0.6,95.6,77.3,13.8,2.6,24.5,86.7,3.2,11.6,12,45,6270,2613,274,1479,10636,6684,1970,Gulf,Gulf,,,,3,0.375,3,0.375,2,0.25,0,0.0,7,Gulf
12047,"Hamilton County, Florida",40.6,47696,110400,4.5,1.9,2.2,2.4,89.0,55.2,30.8,2.5,11.2,78.3,7.9,27.3,12,47,3239,2554,119,907,6819,3964,1727,Hamilton,Hamilton,,,,1,0.2,3,0.6,1,0.2,1,0.2,4,Hamilton
12053,"Hernando County, Florida",48.1,63193,240700,1.5,8.3,3.8,2.4,83.9,73.4,4.7,1.2,20.4,90.1,5.8,12.0,12,53,65331,33955,3957,33737,136980,75446,34431,Hernando,Hernando,,,,0,0.0,3,1.0,0,0.0,0,0.0,3,Hernando
12055,"Highlands County, Florida",54.2,55581,177900,8.0,6.9,3.2,3.3,78.5,64.2,9.2,1.6,19.7,86.4,5.9,15.4,12,55,33262,15234,1426,13965,63887,36382,15227,Highlands,Highlands,,,,1,0.5,0,0.0,0,0.0,0,0.0,1,Highlands
