Variable,Correlation,P_Value
Pct_TwoOrMore,0.6131798995178588,2.2011850063013216e-06
Pct_SomeOther_Alone,-0.5804472877337494,9.935071174429484e-06
Pct_White_Alone,0.5659156211110372,1.8436193230113653e-05
Pct_Black_Alone,0.5518139114483884,3.2687992402756436e-05
Pct_NHPI_Alone,-0.487169218861563,0.00033332559024991696
Unemployment_Rate,0.30716461549780627,0.030021909616871283
Median_Home_Value,0.13553542790530446,0.34799769083795473
Median_Age,-0.12896273303903324,0.37208491708749264
Pct_Asian_Alone,0.1283344965261753,0.3744384473866878
Pct_Below_Poverty_Level,0.11359293461153878,0.4321869815274903
HS_Grad_or_Higher,0.1112922464862587,0.44162885364056564
Pct_Hispanic,0.10636678803532044,0.4622220635694323
Pct_AIAN_Alone,0.039283173261457575,0.7865042418873652
GEOID,0.029240060985259844,0.8402513637341262
Median_Household_Income,-0.004797141347357006,0.9736242516336038
Bachelors_or_Higher,-0.001311872045725732,0.9927858587566699
