GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,county_clean
22001,"Acadia Parish, Louisiana",37.0,45266,146900,2.1,0.0,1.1,0.0,96.9,76.8,15.7,1.9,13.4,80.7,7.8,24.4,Acadia Parish
22003,"Allen Parish, Louisiana",38.9,51138,110800,2.6,0.0,5.4,0.0,92.0,64.6,19.0,3.8,11.6,79.3,13.7,20.4,Allen Parish
22005,"Ascension Parish, Louisiana",36.4,92266,265300,3.3,0.2,4.3,0.3,91.9,64.3,22.7,1.4,28.5,88.7,4.5,10.3,Ascension Parish
22007,"Assumption Parish, Louisiana",42.0,52546,141200,1.7,0.0,2.4,0.0,95.8,64.3,28.6,1.1,13.7,78.2,4.9,13.9,Assumption Parish
22009,"Avoyelles Parish, Louisiana",38.2,39439,120200,2.4,0.1,1.3,0.0,96.2,63.0,26.5,4.2,10.9,77.0,6.8,27.4,Avoyelles Parish
22011,"Beauregard Parish, Louisiana",36.9,64995,164500,2.3,0.7,0.7,0.1,96.2,79.1,10.6,1.8,17.8,87.2,7.5,14.1,Beauregard Parish
22013,"Bienville Parish, Louisiana",42.5,34992,93600,1.5,0.0,0.3,0.2,98.0,53.4,41.4,1.5,13.5,86.0,6.3,32.1,Bienville Parish
22015,"Bossier Parish, Louisiana",36.2,66336,215100,5.0,0.3,2.6,0.1,92.0,62.5,23.6,1.4,27.3,90.7,5.6,16.4,Bossier Parish
22017,"Caddo Parish, Louisiana",39.2,50067,175900,2.3,0.3,1.0,0.0,96.3,42.7,49.0,1.1,25.3,87.5,8.4,22.3,Caddo Parish
22019,"Calcasieu Parish, Louisiana",37.2,67849,208500,2.3,0.3,2.2,0.3,94.8,65.3,23.7,1.5,24.7,89.4,5.5,17.8,Calcasieu Parish
22021,"Caldwell Parish, Louisiana",40.7,44957,106000,2.2,0.0,0.4,0.0,97.4,77.4,18.2,0.1,10.7,82.8,9.9,25.4,Caldwell Parish
22023,"Cameron Parish, Louisiana",43.0,72500,183300,0.0,0.0,0.2,0.0,99.8,85.7,1.2,10.5,15.0,88.1,0.9,6.3,Cameron Parish
22025,"Catahoula Parish, Louisiana",38.8,47753,88000,0.3,0.2,0.3,0.4,98.9,62.9,34.6,0.4,16.6,74.2,6.3,28.1,Catahoula Parish
22027,"Claiborne Parish, Louisiana",41.9,31784,82400,2.6,0.1,0.7,0.0,96.6,44.7,48.5,0.4,11.0,79.4,4.9,35.0,Claiborne Parish
22029,"Concordia Parish, Louisiana",37.7,37349,102400,0.9,0.1,1.1,0.4,97.5,56.3,38.8,1.0,17.4,83.6,11.7,34.8,Concordia Parish
22031,"De Soto Parish, Louisiana",40.1,46077,150700,1.3,0.3,1.5,0.0,96.9,59.2,34.7,2.0,14.9,85.0,6.1,21.8,De Soto Parish
