variable,correlation,p_value,significant,abs_correlation
pct_twoormore,0.6052920139467616,1.3485749596416174e-09,True,0.6052920139467616
pct_someother_alone,-0.47041145150551544,7.208627558832975e-06,True,0.47041145150551544
median_age,-0.35070640567025585,0.0011518995706961367,True,0.35070640567025585
unemployment_rate,0.18096930059466743,0.10157741656834113,False,0.18096930059466743
pct_hispanic,-0.16816008276039898,0.12860625388918795,False,0.16816008276039898
pct_black_alone,0.15928243130576536,0.1503418203689984,False,0.15928243130576536
pct_aian_alone,0.1527531935276113,0.16800323794612027,False,0.1527531935276113
pct_nhpi_alone,-0.14335723221814917,0.196035546848209,False,0.14335723221814917
pct_asian_alone,0.13101178756331777,0.23777387102671885,False,0.13101178756331777
median_household_income,0.12615027962608544,0.25578884530952045,False,0.12615027962608544
pct_white_alone,0.1153344865719629,0.2991389917275233,False,0.1153344865719629
hs_grad_or_higher,0.11175566851196286,0.3144843850086291,False,0.11175566851196286
pct_below_poverty_level,0.06249216161498278,0.5746302380233734,False,0.06249216161498278
median_home_value,0.05633469557496999,0.6129605577709856,False,0.05633469557496999
geoid,0.048409286132274985,0.6638556754932685,False,0.048409286132274985
bachelors_or_higher,0.01171263415254277,0.9163024307919848,False,0.01171263415254277
