GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,county_clean
27001,"Aitkin County, Minnesota",56.5,59498,235100,0.9,0.3,0.2,0.0,98.5,92.8,0.7,3.1,19.0,93.6,5.8,12.3,Aitkin County
27003,"Anoka County, Minnesota",38.8,98764,325800,3.0,0.3,2.2,0.1,94.4,76.0,8.3,1.7,31.7,94.2,3.9,6.6,Anoka County
27005,"Becker County, Minnesota",43.2,71117,266900,1.1,0.1,0.7,0.1,98.1,85.5,0.8,9.9,27.5,93.3,4.0,11.0,Becker County
27007,"Beltrami County, Minnesota",35.1,67257,222300,1.4,0.2,0.9,0.0,97.5,70.4,0.9,23.5,32.3,92.8,5.1,16.0,Beltrami County
27009,"Benton County, Minnesota",36.7,71480,247100,2.0,0.2,0.9,0.2,96.8,86.6,3.9,3.8,24.5,92.3,4.0,9.8,Benton County
27011,"Big Stone County, Minnesota",47.4,65475,135700,1.8,0.2,0.1,0.4,97.5,94.3,0.2,1.0,21.3,93.3,3.0,11.5,Big Stone County
27013,"Blue Earth County, Minnesota",31.5,72623,252800,3.4,0.1,1.2,0.0,95.3,85.2,4.5,0.8,34.5,95.0,4.2,16.3,Blue Earth County
27015,"Brown County, Minnesota",42.4,68690,181700,3.7,0.2,0.8,0.1,95.2,92.2,0.8,0.5,24.2,92.9,2.6,7.7,Brown County
27017,"Carlton County, Minnesota",41.7,80042,232000,1.3,0.0,0.5,0.0,98.1,87.3,2.1,7.1,25.5,93.5,4.0,11.1,Carlton County
27019,"Carver County, Minnesota",38.9,123144,426900,2.6,0.3,2.0,0.1,95.0,86.1,1.5,1.0,50.5,96.3,3.1,4.2,Carver County
27021,"Cass County, Minnesota",49.7,64937,262300,1.3,0.0,0.3,0.1,98.3,81.1,0.4,12.7,25.4,94.4,5.9,12.7,Cass County
27023,"Chippewa County, Minnesota",41.8,69192,149000,4.7,0.1,5.1,0.0,90.1,83.4,0.9,2.1,19.6,90.1,4.4,14.4,Chippewa County
27025,"Chisago County, Minnesota",40.8,98260,326600,1.7,0.4,0.6,0.1,97.3,90.5,1.2,1.4,24.0,95.6,3.9,5.9,Chisago County
27027,"Clay County, Minnesota",33.5,77664,256000,3.4,0.4,0.9,0.1,95.1,84.3,4.6,2.6,39.0,95.0,3.9,14.4,Clay County
27029,"Clearwater County, Minnesota",41.8,64934,177100,0.7,0.0,0.1,0.1,99.1,84.3,0.2,12.8,18.3,88.5,7.4,11.2,Clearwater County
27031,"Cook County, Minnesota",52.3,71643,294000,0.1,0.7,1.4,0.6,97.2,84.3,0.5,10.6,45.6,97.3,2.4,11.3,Cook County
27033,"Cottonwood County, Minnesota",41.3,68239,154000,6.5,1.0,2.7,0.3,89.5,81.5,1.8,1.2,22.9,92.4,3.9,14.2,Cottonwood County
27035,"Crow Wing County, Minnesota",45.4,71343,274400,1.1,0.0,0.4,0.0,98.5,93.6,0.6,1.6,28.6,94.6,5.2,9.7,Crow Wing County
27037,"Dakota County, Minnesota",38.4,105212,362100,5.5,0.5,2.3,0.1,91.6,73.8,7.2,1.4,44.6,95.5,3.6,5.6,Dakota County
27039,"Dodge County, Minnesota",38.5,92943,267500,3.8,0.1,1.2,0.1,94.8,90.0,1.0,0.8,29.7,95.0,3.1,5.4,Dodge County
27041,"Douglas County, Minnesota",44.3,77264,291700,1.8,0.1,0.2,0.0,97.8,94.2,0.5,0.9,29.0,96.0,2.7,8.3,Douglas County
27043,"Faribault County, Minnesota",44.6,64391,120200,6.9,0.2,0.7,0.0,92.2,88.6,0.6,1.2,21.6,92.0,3.8,11.8,Faribault County
27045,"Fillmore County, Minnesota",42.3,75225,204000,1.3,0.0,0.5,0.0,98.1,94.6,0.6,0.5,23.7,92.8,2.9,8.9,Fillmore County
27047,"Freeborn County, Minnesota",43.9,69012,164900,8.7,0.2,1.4,0.3,89.4,82.2,1.2,1.4,18.1,89.9,3.8,9.8,Freeborn County
27049,"Goodhue County, Minnesota",42.3,82749,269400,2.4,0.0,1.3,0.2,96.1,89.6,1.6,1.9,27.9,93.7,3.6,9.3,Goodhue County
27051,"Grant County, Minnesota",43.7,72957,178600,1.8,0.2,0.5,0.0,97.4,92.7,0.5,1.3,19.1,94.3,3.1,10.7,Grant County
27053,"Hennepin County, Minnesota",37.4,96339,376500,4.5,0.3,2.7,0.2,92.3,66.0,13.2,2.0,53.3,94.0,4.3,10.0,Hennepin County
27055,"Houston County, Minnesota",45.0,77087,226300,0.6,0.0,0.8,0.0,98.5,93.8,0.4,0.9,28.0,94.4,1.9,6.5,Houston County
27057,"Hubbard County, Minnesota",48.3,70622,255900,0.9,0.1,1.5,0.0,97.5,90.2,0.5,3.8,30.5,94.6,4.6,9.7,Hubbard County
27059,"Isanti County, Minnesota",40.1,86573,283200,1.4,0.0,0.9,0.1,97.6,91.8,1.0,1.6,19.6,92.3,4.1,7.8,Isanti County
27061,"Itasca County, Minnesota",46.9,66380,212000,0.7,0.2,0.6,0.1,98.5,88.9,0.7,5.1,25.1,94.7,5.8,12.7,Itasca County
27063,"Jackson County, Minnesota",44.5,69955,145400,3.6,0.0,0.9,0.0,95.5,90.4,0.5,1.1,24.9,93.9,2.4,9.1,Jackson County
27065,"Kanabec County, Minnesota",44.5,71915,221100,0.6,0.4,0.7,0.1,98.3,93.3,0.5,1.9,15.8,91.2,4.9,9.8,Kanabec County
