GEOID,County_x,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,county_clean,County_y,highway_count
31001,"Adams County, Nebraska",38.8,65680,185800,7.5,0.4,3.0,1.2,88.0,83.4,1.2,1.1,28.8,91.9,2.3,12.8,Adams County,,0.0
31003,"Antelope County, Nebraska",42.7,63750,116900,3.1,0.0,0.6,0.1,96.2,93.4,0.9,0.7,19.9,93.1,1.7,10.0,Antelope County,,0.0
31005,"Arthur County, Nebraska",40.5,67500,188800,0.4,0.0,0.0,0.2,99.4,92.6,0.0,6.5,32.7,97.9,0.0,9.6,Arthur County,,0.0
31007,"Banner County, Nebraska",56.6,71250,166300,4.1,0.0,0.3,0.0,95.6,92.4,0.0,0.3,32.6,90.5,3.6,9.4,Banner County,Banner County,1.0
31009,"Blaine County, Nebraska",56.8,61250,102100,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,25.6,96.0,1.0,10.6,Blaine County,,0.0
31011,"Boone County, Nebraska",43.2,71367,164700,3.3,0.0,0.6,0.0,96.1,94.3,0.0,1.9,18.9,93.8,1.4,9.2,Boone County,Boone County,1.0
31013,"Box Butte County, Nebraska",40.7,68778,161100,11.0,0.1,1.0,0.2,87.7,80.6,3.4,1.9,20.1,92.4,1.6,10.0,Box Butte County,,0.0
31015,"Boyd County, Nebraska",54.9,58984,104000,1.5,0.1,2.3,0.0,96.1,92.1,0.3,3.1,19.6,95.7,2.5,10.2,Boyd County,,0.0
31017,"Brown County, Nebraska",45.9,51538,100200,5.5,0.0,0.3,0.0,94.2,89.1,0.0,2.2,21.2,92.3,0.8,12.1,Brown County,,0.0
31019,"Buffalo County, Nebraska",34.6,74570,236800,7.6,0.1,2.6,0.1,89.6,84.6,0.8,1.5,34.6,93.5,2.8,11.0,Buffalo County,,0.0
31021,"Burt County, Nebraska",44.8,57303,125400,3.1,0.0,0.1,0.0,96.8,91.1,0.4,3.7,25.7,92.2,2.6,13.7,Burt County,,0.0
31023,"Butler County, Nebraska",42.7,82603,165700,3.3,0.0,2.7,0.0,94.0,90.4,0.3,1.4,25.2,91.8,1.2,7.6,Butler County,Butler County,1.0
31025,"Cass County, Nebraska",41.0,88255,247200,2.8,0.2,0.9,0.0,96.1,91.1,0.2,1.1,31.9,95.8,2.0,4.9,Cass County,Cass County,1.0
31027,"Cedar County, Nebraska",41.9,73977,175500,2.2,0.0,0.3,0.0,97.6,95.3,0.2,0.9,25.0,96.1,1.5,6.2,Cedar County,,0.0
31029,"Chase County, Nebraska",41.8,62782,178700,14.2,0.0,4.1,0.0,81.6,77.0,0.4,1.4,24.1,88.5,1.7,7.8,Chase County,,0.0
31031,"Cherry County, Nebraska",43.5,63750,136000,2.1,0.0,0.9,0.0,97.0,85.1,1.0,8.2,24.2,97.4,0.4,7.2,Cherry County,,0.0
31033,"Cheyenne County, Nebraska",42.0,57594,129100,6.3,0.8,1.1,0.1,91.7,87.4,2.1,1.5,22.1,92.9,2.9,11.1,Cheyenne County,,0.0
31035,"Clay County, Nebraska",40.1,75938,146300,7.3,0.0,2.1,0.0,90.6,87.9,0.7,1.6,22.9,94.1,1.5,8.1,Clay County,,0.0
31037,"Colfax County, Nebraska",35.0,79720,128800,29.4,0.0,17.6,0.3,52.7,45.7,3.4,9.1,14.1,76.7,1.5,8.7,Colfax County,,0.0
31039,"Cuming County, Nebraska",40.8,70708,174900,10.9,0.1,1.1,0.0,87.8,85.5,0.4,2.0,24.8,92.1,2.1,7.8,Cuming County,Cuming County,1.0
31041,"Custer County, Nebraska",42.3,66310,160500,3.3,0.0,0.5,0.0,96.2,92.4,0.5,1.0,25.6,94.0,2.9,8.6,Custer County,,0.0
31043,"Dakota County, Nebraska",32.1,71655,168100,36.6,0.7,3.8,0.0,58.8,43.3,8.1,5.1,15.1,81.1,4.3,11.2,Dakota County,,0.0
31045,"Dawes County, Nebraska",35.2,54381,146500,3.9,0.1,0.7,0.0,95.2,86.4,1.4,4.5,35.2,95.7,1.5,12.6,Dawes County,,0.0
31047,"Dawson County, Nebraska",35.8,65383,157800,17.4,0.0,17.7,1.2,63.7,53.9,6.3,1.6,17.5,77.8,1.9,12.3,Dawson County,,0.0
31049,"Deuel County, Nebraska",50.7,61438,97200,9.1,0.0,1.0,0.0,89.9,86.3,0.0,2.0,22.5,91.3,3.3,9.1,Deuel County,,0.0
31051,"Dixon County, Nebraska",42.1,69156,141400,10.1,0.8,4.2,0.0,84.9,82.0,0.0,0.8,23.7,84.3,2.3,7.1,Dixon County,,0.0
31053,"Dodge County, Nebraska",38.9,71294,188100,9.6,0.3,6.6,0.6,82.9,78.8,0.5,3.5,21.5,89.2,3.1,9.3,Dodge County,,0.0
31055,"Douglas County, Nebraska",35.5,79081,245800,10.3,0.4,3.2,0.2,85.9,66.6,10.3,1.9,42.2,91.5,3.8,11.2,Douglas County,,0.0
31057,"Dundy County, Nebraska",45.6,56563,118200,2.4,0.0,0.0,0.0,97.6,96.1,0.3,0.5,23.3,95.2,0.3,12.0,Dundy County,,0.0
31059,"Fillmore County, Nebraska",46.3,76354,131200,3.1,0.3,0.2,0.1,96.3,93.0,0.3,1.8,21.9,94.7,0.6,7.9,Fillmore County,,0.0
31061,"Franklin County, Nebraska",49.0,57692,99100,2.1,0.6,0.4,0.0,96.9,93.3,0.2,2.4,20.0,94.2,3.3,14.1,Franklin County,,0.0
31063,"Frontier County, Nebraska",42.8,68207,138800,3.1,0.0,0.6,0.1,96.3,92.3,1.0,1.5,26.1,92.9,3.8,12.1,Frontier County,,0.0
31065,"Furnas County, Nebraska",46.4,60625,91800,4.6,0.1,0.3,0.1,94.9,91.7,0.3,1.9,22.3,90.6,1.2,12.3,Furnas County,,0.0
31067,"Gage County, Nebraska",42.8,64426,167100,2.4,0.1,0.7,0.0,96.8,92.9,0.7,1.2,22.1,92.8,1.5,13.2,Gage County,,0.0
31069,"Garden County, Nebraska",54.1,44777,95500,1.2,0.8,1.3,0.0,96.7,94.6,0.1,0.8,20.7,95.2,2.6,14.1,Garden County,,0.0
31071,"Garfield County, Nebraska",45.0,68611,144900,2.1,0.0,0.0,0.0,97.9,96.4,0.4,0.7,32.7,95.4,1.8,11.7,Garfield County,,0.0
31073,"Gosper County, Nebraska",49.2,79145,202700,5.0,0.0,1.4,0.0,93.6,91.6,0.0,1.3,28.8,95.5,1.9,7.0,Gosper County,,0.0
31075,"Grant County, Nebraska",37.8,69063,113900,0.1,0.0,0.0,0.0,99.9,94.5,0.3,2.4,29.4,92.6,2.2,10.8,Grant County,,0.0
31077,"Greeley County, Nebraska",44.5,58894,87800,1.2,0.0,1.0,0.0,97.8,92.5,0.6,1.5,18.4,93.5,2.3,11.2,Greeley County,,0.0
31079,"Hall County, Nebraska",36.0,67549,207900,17.4,0.3,11.2,2.4,68.7,62.1,3.2,1.8,21.1,84.7,3.3,11.8,Hall County,,0.0
31081,"Hamilton County, Nebraska",41.3,79884,238700,3.5,0.0,0.5,0.2,95.9,92.8,0.1,1.4,29.6,97.1,3.4,6.7,Hamilton County,Hamilton County,1.0
31083,"Harlan County, Nebraska",47.1,70536,147200,1.8,0.0,0.6,0.0,97.7,93.6,0.2,0.7,24.2,92.5,1.6,7.2,Harlan County,,0.0
31085,"Hayes County, Nebraska",48.7,60313,112800,4.6,0.0,1.9,0.0,93.6,92.4,0.0,0.6,15.9,94.7,0.3,12.3,Hayes County,,0.0
31087,"Hitchcock County, Nebraska",44.7,52016,88800,2.5,0.0,0.3,1.2,96.1,92.6,0.1,2.1,19.8,93.2,2.1,11.6,Hitchcock County,,0.0
31089,"Holt County, Nebraska",41.8,67225,152000,4.9,0.0,0.6,0.0,94.5,91.6,0.3,0.7,27.0,93.0,1.4,10.8,Holt County,,0.0
31091,"Hooker County, Nebraska",44.8,45854,85400,0.0,0.0,0.0,0.0,100.0,87.1,1.8,1.1,20.7,93.7,3.9,7.7,Hooker County,,0.0
31093,"Howard County, Nebraska",42.3,74508,205200,2.0,0.0,1.0,0.0,97.0,91.8,0.5,0.7,23.0,95.2,3.4,5.4,Howard County,,0.0
31095,"Jefferson County, Nebraska",44.7,60568,117600,3.7,0.0,1.4,0.2,94.7,91.1,0.6,1.2,19.7,93.1,1.1,9.9,Jefferson County,,0.0
31097,"Johnson County, Nebraska",40.1,59457,131500,8.4,0.9,2.4,0.0,88.3,78.1,4.7,2.7,19.0,88.4,2.0,6.8,Johnson County,,0.0
31099,"Kearney County, Nebraska",40.3,79167,218300,6.1,0.0,0.4,0.0,93.5,91.3,0.0,0.6,32.9,94.0,1.4,6.7,Kearney County,Kearney County,2.0
31101,"Keith County, Nebraska",49.0,58132,157000,7.3,0.0,1.6,0.0,91.0,86.1,1.3,1.3,21.3,90.8,2.0,10.7,Keith County,,0.0
31103,"Keya Paha County, Nebraska",49.0,60313,108800,3.6,0.0,0.0,0.0,96.4,93.8,0.1,0.0,25.7,96.8,1.4,10.4,Keya Paha County,,0.0
