Variable,Correlation,P_Value
Median_Age,-0.1254474017863664,0.04578845814585971
Median_Household_Income,-0.20094003324750714,0.0012838645892630214
Median_Home_Value,-0.050543866325156825,0.42250886746746535
Pct_White_Alone,0.1438847292547481,0.02180297720212232
Pct_Black_Alone,0.1419947680803852,0.0236145989251569
Pct_Asian_Alone,0.18231417674980166,0.0035482999407735697
Pct_Hispanic,-0.06335887560677783,0.3145095791329443
HS_Grad_or_Higher,0.18349630242554008,0.0033356230161140717
Bachelors_or_Higher,-0.11663264466472065,0.06345510880406038
Unemployment_Rate,0.08983503135037126,0.15341830284385397
Pct_Below_Poverty_Level,-0.007748753772437007,0.9021961624333571
