County,highway_count
"Anderson County, Texas",1
"Andrews County, Texas",1
"Angelina County, Texas",2
"Armstrong County, Texas",1
"Atascosa County, Texas",3
"Bastrop County, Texas",4
"Bell County, Texas",4
"Bexar County, Texas",15
"Bosque County, Texas",2
"Brazoria County, Texas",7
"Brazos County, Texas",2
"Brooks County, Texas",1
"Callahan County, Texas",1
"Cameron County, Texas",9
"Cass County, Texas",1
"Clay County, Texas",1
"Coleman County, Texas",1
"Collin County, Texas",3
"Comal County, Texas",3
"Comanche County, Texas",6
"Concho County, Texas",2
"Crane County, Texas",6
"Dallas County, Texas",13
"Denton County, Texas",5
"Dimmit County, Texas",1
"Duval County, Texas",4
"Eastland County, Texas",11
"Ector County, Texas",2
"El Paso County, Texas",7
"Ellis County, Texas",14
"Fannin County, Texas",4
"Fayette County, Texas",6
"Fort Bend County, Texas",1
"Franklin County, Texas",2
"Freestone County, Texas",7
"Gaines County, Texas",5
"Galveston County, Texas",6
"Gillespie County, Texas",18
"Glasscock County, Texas",3
"Gonzales County, Texas",1
"Grayson County, Texas",4
"Gregg County, Texas",5
"Guadalupe County, Texas",3
"Hale County, Texas",3
"Hardin County, Texas",1
"Harris County, Texas",17
"Harrison County, Texas",6
"Hartley County, Texas",1
"Hays County, Texas",1
"Henderson County, Texas",1
"Hidalgo County, Texas",8
"Hill County, Texas",1
"Hockley County, Texas",1
"Hood County, Texas",1
"Hopkins County, Texas",1
"Houston County, Texas",3
"Howard County, Texas",12
"Hudspeth County, Texas",20
"Hunt County, Texas",5
"Jack County, Texas",1
"Jasper County, Texas",1
"Jefferson County, Texas",5
"Jim Hogg County, Texas",1
"Jim Wells County, Texas",11
"Kaufman County, Texas",2
"Kenedy County, Texas",14
"Kerr County, Texas",1
"Lamar County, Texas",7
"Leon County, Texas",6
"Limestone County, Texas",1
"Llano County, Texas",1
"Lubbock County, Texas",1
"Madison County, Texas",1
"Matagorda County, Texas",1
"McMullen County, Texas",1
"Medina County, Texas",3
"Midland County, Texas",8
"Milam County, Texas",14
"Mitchell County, Texas",1
"Montague County, Texas",1
"Montgomery County, Texas",4
"Nacogdoches County, Texas",14
"Nueces County, Texas",6
"Oldham County, Texas",1
"Orange County, Texas",1
"Parker County, Texas",1
"Parmer County, Texas",2
"Polk County, Texas",2
"Presidio County, Texas",7
"Refugio County, Texas",2
"Rockwall County, Texas",1
"Shackelford County, Texas",2
"Shelby County, Texas",2
"Somervell County, Texas",1
"Tarrant County, Texas",11
"Taylor County, Texas",2
"Terrell County, Texas",6
"Titus County, Texas",4
"Tom Green County, Texas",15
"Travis County, Texas",8
"Trinity County, Texas",3
"Tyler County, Texas",1
,2
"Upshur County, Texas",4
"Uvalde County, Texas",1
"Val Verde County, Texas",7
"Van Zandt County, Texas",1
"Victoria County, Texas",1
"Washington County, Texas",1
"Webb County, Texas",18
"Wharton County, Texas",3
"Wichita County, Texas",1
"Wilbarger County, Texas",1
"Williamson County, Texas",4
"Wise County, Texas",6
