GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS,County_clean,county_clean,highway_count
48001,"Anderson County, Texas",39.5,58846,173400,16.3,0.5,2.5,0.0,80.7,55.8,18.2,3.9,14.5,86.0,5.3,17.1,48,1,anderson,anderson,1.0
48003,"Andrews County, Texas",33.1,76902,188200,52.6,0.3,3.9,0.0,43.2,39.5,1.9,1.1,19.9,76.9,2.3,14.2,48,3,andrews,andrews,1.0
48005,"Angelina County, Texas",37.8,58847,149800,20.2,0.4,2.5,0.0,76.8,59.0,12.2,4.7,18.0,84.9,5.4,16.3,48,5,angelina,angelina,2.0
48007,"Aransas County, Texas",51.0,61754,236800,24.0,0.1,2.6,0.1,73.2,67.6,1.1,2.7,27.6,91.4,6.2,18.7,48,7,aransas,,0.0
48009,"Archer County, Texas",43.1,71958,175300,7.6,0.3,1.1,0.1,91.0,86.4,0.8,3.0,25.2,91.0,3.4,11.7,48,9,archer,,0.0
48011,"Armstrong County, Texas",43.0,68462,185700,7.8,0.0,1.8,0.0,90.4,86.1,0.5,1.2,21.4,94.0,0.9,5.8,48,11,armstrong,armstrong,1.0
48013,"Atascosa County, Texas",36.1,69413,157400,58.9,0.5,5.2,0.2,35.3,31.8,1.2,1.9,15.3,80.9,4.5,16.1,48,13,atascosa,atascosa,3.0
48015,"Austin County, Texas",41.6,75994,270900,23.7,0.5,2.5,0.5,72.8,60.9,8.8,1.1,23.4,88.5,4.2,14.5,48,15,austin,,0.0
48017,"Bailey County, Texas",35.1,70625,104400,58.7,0.1,5.6,0.2,35.4,31.3,0.4,0.0,16.7,71.9,0.5,13.6,48,17,bailey,,0.0
48019,"Bandera County, Texas",53.4,69703,249800,15.5,0.6,4.1,0.0,79.8,73.9,1.1,2.5,25.5,91.9,7.4,16.1,48,19,bandera,,0.0
48021,"Bastrop County, Texas",37.5,82730,269500,36.0,0.9,7.0,0.1,56.0,45.7,5.7,3.6,23.3,81.9,4.6,12.4,48,21,bastrop,bastrop,4.0
48023,"Baylor County, Texas",47.5,42313,93300,12.3,0.0,1.4,0.0,86.3,75.9,0.8,0.4,28.4,82.5,3.8,20.8,48,23,baylor,,0.0
48025,"Bee County, Texas",35.8,56075,102800,55.6,0.5,5.6,0.1,38.1,27.9,6.0,3.7,11.4,81.6,5.9,17.0,48,25,bee,,0.0
48027,"Bell County, Texas",32.1,66051,221100,17.1,4.8,3.6,0.3,74.2,43.1,21.6,2.6,27.2,91.0,7.3,14.6,48,27,bell,bell,4.0
48029,"Bexar County, Texas",34.6,70571,244100,49.5,1.7,8.0,0.4,40.5,26.7,7.3,2.9,31.5,86.4,5.5,14.7,48,29,bexar,bexar,15.0
