variable,t_statistic,p_value,significant,high_mean,low_mean,effect_size
HS_Grad_or_Higher,4.822115987446826,9.612299518772601e-06,True,31.406250000000004,20.225,1.2055289968617064
Registered_Republican,4.787291294655995,2.352651736589225e-05,True,125873.8125,34289.0625,1.1968228236639988
Registered_Total,4.324788839445363,0.0001225365812023144,True,344403.34375,71731.25,1.0811972098613407
Bachelors_or_Higher,4.04013688453502,0.00019292702940768117,True,90.225,85.4375,1.010034221133755
Registered_Democrat,3.9215828739873215,0.00042168568603986206,True,116918.5625,19067.8125,0.9803957184968304
Median_Household_Income,2.9789116672435525,0.004139727327427701,True,70720.46875,61318.625,0.7447279168108881
Pct_Hispanic,-2.758976330922122,0.008489150085637191,True,1.33125,1.8468749999999998,-0.6897440827305305
Median_Home_Value,2.402049912347164,0.020022803733985087,True,295306.25,229653.125,0.600512478086791
Pct_Below_Poverty_Level,-2.1328342335894077,0.03771930938402262,True,13.034374999999999,15.56875,-0.5332085583973519
Pct_White_Alone,-1.5687109496550953,0.12538190055261741,False,2.8656250000000005,4.43125,-0.3921777374137738
Median_Age,-1.4919492384331179,0.1410547359186756,False,43.525,45.91875,-0.37298730960827947
Unemployment_Rate,-1.3991125617811997,0.16793929149404133,False,4.703125,5.128125,-0.3497781404452999
Pct_Black_Alone,0.9601422354755534,0.34121153301235907,False,4.0125,3.0124999999999997,0.24003555886888836
