GEOID,County_x,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,County_clean,County_y,Highway_Count
55001,"Adams County, Wisconsin",55.5,59153,184500,3.1,0.5,0.6,0.2,95.7,88.3,2.2,1.7,17.3,89.0,5.1,13.8,ADAMS COUNTY,,0.0
55003,"Ashland County, Wisconsin",43.1,57645,160500,1.7,0.9,0.3,0.0,97.1,81.9,0.8,12.9,22.1,95.2,4.7,16.4,ASHLAND COUNTY,,0.0
55005,"Barron County, Wisconsin",44.8,64619,198300,2.2,0.3,0.5,0.0,97.0,91.2,1.4,1.6,22.3,91.7,3.1,9.9,BARRON COUNTY,,0.0
55007,"Bayfield County, Wisconsin",54.1,69609,228100,0.7,0.4,0.7,0.2,98.0,83.9,0.6,11.4,35.0,96.2,3.6,8.9,BAYFIELD COUNTY,BAYFIELD COUNTY,1.0
55009,"Brown County, Wisconsin",37.9,77490,245900,7.3,1.2,1.4,0.1,90.0,78.1,2.5,3.8,32.4,93.3,2.8,9.8,BROWN COUNTY,,0.0
55011,"Buffalo County, Wisconsin",46.4,68722,197600,1.8,0.2,0.7,0.1,97.3,94.2,0.5,0.8,22.1,92.0,2.6,8.7,BUFFALO COUNTY,,0.0
55013,"Burnett County, Wisconsin",55.2,61664,215500,1.2,0.1,0.6,0.1,98.1,90.0,0.8,5.6,22.0,92.8,4.4,13.1,BURNETT COUNTY,,0.0
55015,"Calumet County, Wisconsin",41.7,87700,252100,4.9,0.0,0.5,0.1,94.4,88.1,0.9,1.2,32.5,94.8,2.2,5.7,CALUMET COUNTY,,0.0
55017,"Chippewa County, Wisconsin",41.7,74009,237700,1.3,0.3,0.2,0.1,98.1,92.5,1.6,1.2,24.1,93.5,3.0,9.2,CHIPPEWA COUNTY,,0.0
55019,"Clark County, Wisconsin",37.0,66250,163800,4.6,0.9,0.6,0.0,93.9,90.9,0.3,0.9,13.4,82.5,3.3,12.0,CLARK COUNTY,,0.0
55021,"Columbia County, Wisconsin",43.3,82792,258700,2.2,0.2,1.4,0.1,96.1,90.9,1.7,1.3,25.7,93.8,3.0,7.8,COLUMBIA COUNTY,,0.0
55023,"Crawford County, Wisconsin",47.3,63496,175100,0.9,0.3,0.4,0.4,98.1,92.9,1.4,1.3,18.3,92.4,3.1,12.6,CRAWFORD COUNTY,,0.0
